"Authorization Period","承認期間"
"Enabled Credit Card","有効なクレジットカード"
"Credit Card Title","クレジットカードタイトル"
"Honor Period","名誉期間"
"Authorize ","オーソリ"
"Capture ","キャプチャ"
"Sandbox  Mode","Sandboxモード"
"Output Debug Log","デバッグログ出力"
"Enabled Credit Card","クレジットカード支払いを有効にする"
"Transaction cannot be processed, please verify your card information or try another.","取引が処理できません,カード情報を確認するか、別のカードを試してください."
"No paypal_checkout_info record found during authorization","オーソリ時のpaypal_checkout_infoレコードが見つかりません"
"Start processing","処理を開始します"
"Exit Paypal Capture batch","Paypal Capture batch を終了します"
"Terminate batch due to unexpected error","予期しないエラーが発生したためバッチを終了します"
"PayPal Generate_access_token API execution timed out","PayPal Generate_access_token APIの実行がタイムアウトしました"
"An error occurred when executing the PayPal Generate_access_token API","PayPal Generate_access_token APIの実行時にエラーが発生しました"
"PayPal server is under maintenance","PayPalサーバーがメンテナンス中です"
"Failed to get PayPal API access_token","PayPal API access_tokenの取得に失敗しました"
"API response HTTP status code:","APIレスポンスHTTPステータスコード："
"API response","APIレスポンス"
"Get access token","access tokenを取得しました"
"Failed to get PayPal API access_token","PayPal API access_tokenの取得に失敗しました"
"No access_token in API response","APIレスポンスにaccess_tokenがありません"
"API response","APIレスポンス"
"Acquired data to be captured","件のcapture対象データを取得しました"
"Failed to acquire capture target data list","capture対象データリストの取得に失敗しました"
"I have requested payment for the following order from the payment company, but the payment method you are using is unsuccessful.","下記注文の代金を決済会社に請求しましたがご利用のお支払方法は決済不能となっています。"
"You cannot pay for your order to the store.","ご注文代金をストアにお支払いすることはできません。"
"Order Details","注文内容"
"Store Name ","ストア"
"Order Number","注文番号"
"For details, please read the store guide below.","詳しくは下記ストアガイドをお読みください。"
"Store Guide > If the order cannot be paid","ストアガイド>注文代金が支払不可となった場合"
"[Important]Notice of non-payment of order fee","[重要]注文代金お支払不可のお知らせ"
